Тип;Число двигателей;"Тяга, кН";Число пассажиров;"Дальность, км";"Крейсерская скорость, км/ч";"Максимальный вес, т"
«Эрбас» А300-600;2;262;375;5350;890;165
«Эрбас» А310-300;2;237;280;6900;900;164
«Эрбас» А320-200;2;125;179;4500;800;74
«Эрбас» А340-300;2;139;375;10850;925;254
БАК 111-200;2;46;79;2450;870;36
«Конкорд» (сверхзвуковой);4;169;132;6550;2150;181
БАК VC10;4;93;135;9350;930;142
БАК «Супер VC10»;4;100;174;7450;975;152
«Боинг» 707-320B;4;80;189;9700;960;148
«Боинг» 737-100;2;62;101;1000;960;49
«Боинг» 737-400;2;98;168;3600;800;63
«Боинг» 737-500;2;89;132;2500;910;52
«Боинг» 747-200B;4;244;550;11000;940;378
«Боинг» 747-400;4;252;660;12700;910;395
«Боинг» 757-200;2;178;239;5850;935;109
«Боинг» 767-300;4;224;269;6000;850;159
DC-8-50;4;80;176;14000;875;143
DC-8-63;4;84;259;7750;940;160
DC-9-30;2;62;115;2050;910;44
DC-10;3;156;252;4250;1000;175
«Фоккер» F-28;2;41;60;2000;850;26
«Фоккер» 100;2;62;107;2150;850;43
«Хокер Сидли Трайдент» 1E;3;51;103;4400;975;61
Ил-62;4;102;186;6700;900;157
Ил-86;4;127;350;5800;950;210
Ил-96-300;4;157;300;11000;900;216
«Локхид» L-1011;3;147;340;4850;940;174
Ту-134;2;67;86;2000;850;48
Ту-144;4;199;150;3500;2200;207
Ту-154;3;93;180;3300;850;98
Ту-154М;3;105;175;3700;850;100
Ту-204;2;157;214;2500;850;93
Як-40;3;15;38;1850;600;14
Ан-24;2;1897;52;2600;500;27
«Хэндли Пейдж Геральд»;2;1566;50;1650;440;20
«Хокер Сидли» HS-748-2A;2;1696;62;1850;450;20
NAMC YS-11A-200;2;1980;46;1150;475;24
